timestamp,alpha,beta,theta,gamma,delta
2026-02-04T16:37:31.122075,0.3927,0.2667,0.1593,0.1433,0.1365
2026-02-04T16:37:32.123673,0.3804,0.2379,0.021,-0.0329,-0.0374
2026-02-04T16:37:33.124121,0.3415,0.2706,0.0509,-0.0161,0.0552
2026-02-04T16:37:34.125178,0.3832,0.2489,0.0896,0.0159,0.036
2026-02-04T16:37:35.127137,0.2788,0.2132,-0.0183,0.0232,0.1142
2026-02-04T16:37:36.130067,0.2784,0.1732,-0.0561,0.0165,0.041
2026-02-04T16:37:37.132593,0.255,0.0993,0.0187,-0.0726,-0.0064
2026-02-04T16:37:38.134299,0.3059,0.2023,0.0845,-0.01,0.0464
2026-02-04T16:37:39.135035,0.3113,0.2701,-0.0498,0.0821,-0.0028
2026-02-04T16:37:40.135971,0.2943,0.2684,-0.0053,0.0628,0.0218
2026-02-04T16:37:41.137051,0.31,0.2252,0.0274,0.1008,0.0979
2026-02-04T16:37:42.137641,0.3474,0.1716,0.0865,0.0903,0.077
2026-02-04T16:37:43.138483,0.2408,0.1089,0.0563,-0.1158,0.0825
2026-02-04T16:37:44.140235,0.2695,0.1555,0.0938,0.0454,-0.0159
2026-02-04T16:37:45.142004,0.2484,0.1725,0.0726,0.0704,0.0603
2026-02-04T16:37:46.142952,0.287,0.1567,-0.0483,-0.0818,0.051
2026-02-04T16:37:47.144581,0.2653,0.1392,-0.0573,-0.0669,-0.0725
2026-02-04T16:37:48.145219,0.2762,0.2159,0.0036,0.0633,0.086
2026-02-04T16:37:49.146546,0.1513,0.1866,0.0287,0.0125,0.099
2026-02-04T16:37:50.147651,0.2908,0.158,-0.0488,-0.0738,-0.0487
2026-02-04T16:37:51.148538,0.3801,0.1403,-0.0318,-0.0754,-0.1345
2026-02-04T16:37:52.150444,0.3529,0.1769,-0.0129,-0.0355,-0.0832
2026-02-04T16:37:53.151091,0.307,0.1662,0.0448,0.0025,-0.0392
2026-02-04T16:37:54.151936,0.2635,0.0295,0.0783,-0.0711,0.0454
2026-02-04T16:37:55.154467,0.2179,0.0838,0.0182,-0.1068,-0.0584
2026-02-04T16:37:56.155413,0.243,0.0617,-0.1802,-0.1844,-0.0342
2026-02-04T16:37:57.157630,0.2196,0.0486,-0.1041,-0.145,-0.1994
2026-02-04T16:37:58.159558,0.2069,0.1076,-0.0681,-0.0429,-0.0105
2026-02-04T16:37:59.160539,0.1987,0.0989,-0.1075,-0.0094,0.0781
2026-02-04T16:38:00.162862,0.2409,0.0639,-0.1642,-0.0883,-0.0725
2026-02-04T16:38:01.164562,0.2858,0.069,-0.0323,-0.1576,-0.0029
2026-02-04T16:38:02.165803,0.2468,0.0301,-0.0988,-0.1159,-0.1188
2026-02-04T16:38:03.168369,0.2548,0.0746,-0.1328,-0.0947,-0.0765
2026-02-04T16:38:04.170912,0.2431,0.078,-0.0178,-0.1732,-0.0746
2026-02-04T16:38:05.173200,0.0802,0.084,-0.0196,-0.071,-0.0586
2026-02-04T16:38:06.176171,0.1268,0.0665,-0.0541,-0.0781,-0.0108
2026-02-04T16:38:07.178244,0.0528,0.0383,-0.2909,-0.1342,-0.0227
2026-02-04T16:38:08.180277,0.0796,0.0323,-0.2599,-0.1262,-0.0763
2026-02-04T16:38:09.181987,0.1743,0.0117,-0.152,-0.1378,-0.004
2026-02-04T16:38:10.183958,0.1919,0.0078,-0.1658,-0.1133,-0.0356
2026-02-04T16:38:11.185079,0.1851,0.0152,-0.0961,-0.0651,-0.0242
2026-02-04T16:38:12.185918,0.1597,0.0069,-0.104,-0.0867,0.0386
2026-02-04T16:38:13.187157,0.2575,0.0369,-0.0726,-0.1207,-0.1835
2026-02-04T16:38:14.189668,0.2256,0.025,-0.049,-0.1859,-0.1538
2026-02-04T16:38:15.190389,0.2597,0.0209,-0.1477,-0.2139,0.0109
2026-02-04T16:38:16.234140,0.2702,0.0438,-0.1097,-0.1002,-0.0402
2026-02-04T16:38:17.239237,0.3096,0.0554,-0.0933,-0.1151,0.0016
2026-02-04T16:38:18.240417,0.2382,0.0628,-0.1945,-0.1408,-0.1137
2026-02-04T16:38:19.242152,0.2058,0.0714,-0.3182,-0.1436,-0.2609
2026-02-04T16:38:20.243633,0.226,0.1114,-0.1796,-0.0948,0.0601
2026-02-04T16:38:21.244775,0.2669,0.0748,-0.0967,-0.0891,0.16
2026-02-04T16:38:22.245344,0.3237,0.0845,-0.1043,-0.0767,0.134
2026-02-04T16:38:23.247213,0.2908,0.0785,-0.0853,-0.1536,0.0128
2026-02-04T16:38:24.249481,0.287,0.0731,-0.0726,-0.157,-0.1232
2026-02-04T16:38:25.251006,0.3109,0.0833,0.013,-0.1446,0.0417
2026-02-04T16:38:26.252148,0.298,0.0922,-0.0501,-0.1584,-0.0547
2026-02-04T16:38:27.253147,0.1611,0.0599,-0.1072,-0.1813,-0.0189
2026-02-04T16:38:28.254227,0.2109,0.1186,-0.0083,-0.1761,-0.0837
2026-02-04T16:38:29.256538,0.25,0.1427,-0.0629,-0.152,-0.2212
2026-02-04T16:38:30.259749,0.2466,0.0737,-0.1444,-0.1432,-0.0868
2026-02-04T16:38:31.261676,0.2485,0.0613,0.0299,-0.1791,-0.038
2026-02-04T16:38:32.263585,0.2683,0.1116,0.123,-0.1253,-0.004
2026-02-04T16:38:33.265383,0.4138,0.067,0.1357,-0.1327,-0.0525
2026-02-04T16:38:34.267385,0.4568,0.0814,0.0332,-0.1494,-0.1566
2026-02-04T16:38:35.268281,0.395,0.0532,-0.0938,-0.1075,-0.0533
2026-02-04T16:38:36.270882,0.3732,0.0475,-0.0079,-0.1103,0.0487
2026-02-04T16:38:37.272135,0.3274,0.1619,-0.1569,-0.1192,-0.0289
2026-02-04T16:38:38.273783,0.4134,0.0946,0.1563,-0.1133,-0.0468
2026-02-04T16:38:39.276510,0.4257,0.0575,0.1711,-0.1228,0.0125
2026-02-04T16:38:40.278172,0.2747,0.069,0.221,-0.0869,-0.0458
2026-02-04T16:38:41.279216,0.298,0.0352,0.1144,-0.1307,-0.0348
2026-02-04T16:38:42.281587,0.3396,0.0914,-0.011,-0.1078,-0.1024
2026-02-04T16:38:43.282243,0.2906,0.1022,-0.024,-0.1609,-0.0458
2026-02-04T16:38:44.283250,0.18,0.0294,0.0035,-0.1284,-0.0502
2026-02-04T16:38:45.284448,0.2211,0.024,-0.0273,-0.1208,-0.0386
2026-02-04T16:38:46.285741,0.2155,0.0504,-0.0374,-0.1809,-0.0098
2026-02-04T16:38:47.287839,0.2585,0.0373,-0.0541,-0.1537,-0.0636
2026-02-04T16:38:48.289866,0.2386,-0.0062,-0.1817,-0.1481,0.0102
2026-02-04T16:38:49.291029,0.1845,0.0736,-0.11,-0.1089,-0.0462
2026-02-04T16:38:50.292567,0.2342,0.1265,-0.1235,-0.0564,-0.06
2026-02-04T16:38:51.295100,0.2812,0.0849,-0.0946,-0.0745,-0.0848
2026-02-04T16:38:52.297512,0.244,0.0953,0.0025,-0.1534,-0.0488
2026-02-04T16:38:53.299354,0.141,0.0263,-0.0954,-0.1341,-0.1829
2026-02-04T16:38:54.301152,0.188,0.0896,-0.1358,-0.0578,-0.0965
2026-02-04T16:38:55.303018,0.2252,0.1767,-0.112,0.0526,0.0221
2026-02-04T16:38:56.304880,0.2219,0.1505,-0.1971,-0.0099,-0.0459
2026-02-04T16:38:57.307511,0.2628,0.1587,-0.0801,-0.0009,-0.0633
2026-02-04T16:38:58.308433,0.2594,0.1814,-0.069,-0.0394,-0.0704
2026-02-04T16:38:59.310663,0.2248,0.0703,-0.0756,-0.0836,-0.0564
2026-02-04T16:39:00.312546,0.3267,0.0366,-0.0098,-0.0359,-0.1248
2026-02-04T16:39:01.314663,0.3023,0.1178,-0.0677,-0.0569,-0.143
2026-02-04T16:39:02.316561,0.1447,0.1451,-0.1096,0.0791,0.0151
2026-02-04T16:39:03.317261,0.2469,0.1454,0.0868,0.0649,0.1424
2026-02-04T16:39:04.317973,0.2488,0.0523,-0.0075,-0.1097,0.097
2026-02-04T16:39:05.319964,0.2866,0.108,-0.023,0.0328,0.0396
2026-02-04T16:39:06.321294,0.33,0.1114,0.0922,0.091,0.0207
2026-02-04T16:39:07.322203,0.3488,0.1694,0.1519,0.1341,-0.0045
2026-02-04T16:39:08.324306,0.3991,0.2934,0.1498,0.2153,0.0675
2026-02-04T16:39:09.325407,0.3198,0.307,0.0896,0.2182,0.062
2026-02-04T16:39:10.328422,0.3217,0.1615,0.0504,0.1118,-0.1004
2026-02-04T16:39:11.328934,0.3055,0.1502,0.0429,0.0202,0.0702
2026-02-04T16:39:12.330446,0.3314,0.1645,0.1119,-0.0055,-0.0566
2026-02-04T16:39:13.332039,0.3495,0.0879,0.0251,-0.0228,-0.1633
2026-02-04T16:39:14.333126,0.3945,0.2121,0.103,0.1159,-0.0331
2026-02-04T16:39:15.334103,0.3826,0.2158,0.1821,0.0703,0.0631
2026-02-04T16:39:16.334834,0.3179,0.0872,0.1179,-0.0188,0.0263
2026-02-04T16:39:17.336214,0.2608,0.1191,0.0111,0.0043,0.0241
2026-02-04T16:39:18.337765,0.3404,0.2238,0.0115,0.1424,0.0974
2026-02-04T16:39:19.339780,0.3435,0.1984,0.0531,0.134,0.0132
2026-02-04T16:39:20.340662,0.3854,0.1768,0.1955,-0.0681,-0.041
2026-02-04T16:39:21.341721,0.3913,0.1517,0.2552,-0.0586,-0.0787
2026-02-04T16:39:22.342909,0.3847,0.0801,0.1604,-0.0904,-0.083
2026-02-04T16:39:23.343835,0.3254,0.0687,0.041,-0.1126,-0.0581
2026-02-04T16:39:24.345684,0.4125,0.0042,0.0417,-0.1194,-0.0982
2026-02-04T16:39:25.347481,0.3682,0.0702,0.0373,-0.1847,-0.0827
2026-02-04T16:39:26.348467,0.3337,0.0403,-0.0801,-0.1821,-0.0161
2026-02-04T16:39:27.351030,0.3942,-0.0116,0.075,-0.1522,-0.0633
2026-02-04T16:39:28.353989,0.3629,0.018,0.1097,-0.1232,-0.1448
2026-02-04T16:39:29.356347,0.2547,0.0673,0.053,-0.0842,-0.0851
2026-02-04T16:39:30.360136,0.1859,0.0424,0.0114,-0.133,0.0298
2026-02-04T16:39:31.361266,0.1341,-0.0053,-0.145,-0.1244,-0.0922
2026-02-04T16:39:32.361783,0.1712,0.0316,-0.2091,-0.1248,-0.1621
2026-02-04T16:39:33.363432,0.2628,0.0847,-0.1005,-0.0893,-0.1712
2026-02-04T16:39:34.364984,0.2404,0.116,-0.0236,-0.1299,-0.0776
2026-02-04T16:39:35.366041,0.1864,0.0353,-0.1085,-0.1259,-0.2149
2026-02-04T16:39:36.367324,0.226,0.0625,-0.1267,-0.1057,-0.0955
2026-02-04T16:39:37.370197,0.2959,0.0397,-0.0113,-0.1057,0.0607
